Albania,22.2,21.8
Bangladesh,16.4,15.6
Benin,19.4,18.7
"Burkina Faso",17.9,17.7
Cameroon,18.3,18.1
Chad,16,16
Colombia,22.5,21.8
Congo,20,21
"Republic of Congo",19.1,19
"Dominican Republic",19.4,18.5
Ecuador,20.8,20.5
"El Salvaldor",21.6,20.2
Eritrea,18.3,18.4
Ethiopia,18.1,16.6
Guatemala,19.9,18.9
Guinea,16.9,16.5
Honduras,19.4,19.9
India,18.5,17.8
Liberia,19.7,18.9
Madagascar,19,18.9
Malawi,18.1,18.2
Mali,16.5,16.7
Mozambique,17.5,17.5
Nepal,17.9,17.3
Nicaragua,18.9,18
Niger,15.7,15.7
Nigeria,19.1,18.5
Paraguay,22.4,20.8
Senegal,19.2,19.2
Tanzania,18.7,19
Uganda,18.3,18
Ukraine,22.8,21.2
Zambia,19,18.7
Zimbabwe,19.5,19.6
